Your Input	Public Name
R11.1.1	slc-25A21
K09E2.4a.2	rig-1
D1009.3a.1	ensh-1
R08E3.1a.1	R08E3.1
Y12A6A.2.1	nlp-53
R01E6.5.1	R01E6.5
C18A11.5b.1	xol-1
C44E12.1.1	C44E12.1
ZC373.1a.1	cbs-1
C35C5.6.1	trpp-9
F08G12.3.1	F08G12.3
F40B5.3a.1	nep-15
M163.3.1	his-24
H02F09.3.1	H02F09.3
F29G6.1.1	F29G6.1
C11H1.7a.2	C11H1.7
F57C7.2a.1	nhx-5
K09E2.4b.1	rig-1
Y15E3A.1a.2	nhr-91
C49F5.1.2	sams-1
Y62H9A.14b.1	Y62H9A.14
F47E1.20.1	F47E1.20
F54F7.14.1	F54F7.14
K07E3.2.1	K07E3.2
F34H10.4b.1	F34H10.4
M03A8.1.1	dhs-28
C10A4.4.2	C10A4.4
F54B11.9.1	F54B11.9
F55A4.10.1	cutl-21
F13D2.3.1	gnrr-7
F31F6.4a.1	flp-8
C25B8.1b.1	kqt-1
F59F5.2a.1	glo-3
C34F6.3.1	col-179
F09E10.3.1	dhs-25
F14D12.4a.1	mec-2
ZK563.7.1	ZK563.7
Y15E3A.1a.1	nhr-91
F35H12.6.2	F35H12.6
F11A1.3f.1	daf-12
C25A11.4c.1	ajm-1
C17G1.5.2	C17G1.5
F49E2.5n.2	F49E2.5
F13E6.3a.1	phf-31
F40F4.4a.1	lbp-3
C34E7.1a.2	pqn-18
C39B10.2i.1	lgc-41
F41E7.4.1	fip-5
ZK721.3.1	ZK721.3
F38B2.1b.1	ifa-1
F19G12.3.2	F19G12.3
C44C10.8.1	hnd-1
F02E8.2a.1	nmur-3
C10A4.2.1	C10A4.2
F17H10.2a.1	F17H10.2
C49F5.6.1	C49F5.6
C25B8.3.1	cpr-6
W04G3.8.1	lpr-3
K05B2.2b.6	K05B2.2
F27D9.1a.1	unc-18
C07A12.5b.1	spr-3
F13C5.1.1	F13C5.1
F46H5.2c.2	F46H5.2
C05G5.2b.1	C05G5.2
C25A11.4a.1	ajm-1
F11C7.1.1	pbo-6
F54F7.6.1	F54F7.6
C05D9.4.1	C05D9.4
F19G12.9a.1	F19G12.9
F49E2.5i.2	F49E2.5
C05E7.4.1	frpr-2
R03G8.3.3	R03G8.3
F43C9.2a.1	F43C9.2
H28G03.1c.1	hrpa-2
T14G11.1.1	T14G11.1
F38E9.5.1	twf-2
C53B7.3a.1	C53B7.3
C30F2.3.1	C30F2.3
C06G1.4.1	ain-1
C23F12.1g.2	fln-2
C27C12.2.1	egrh-1
T04G9.1a.1	attf-5
D1005.2.1	D1005.2
C03B1.2.1	C03B1.2
C15A7.1.1	lgc-23
F11C1.3.1	scav-4
F54B11.10.1	F54B11.10
T22B7.1a.2	egl-13
W04G3.4.1	apt-9
T07F12.3.2	arrd-23
R09A8.2.1	R09A8.2
T03G11.4.1	mans-3
Y71H10A.2.4	fard-1
F01G12.2a.2	sur-7
ZK899.8h.1	gap-2
F08F1.1b.1	kin-9
C16B8.1.1	lin-18
F08C6.4a.1	sto-1
T07C5.1e.1	ugt-50
F19H6.6.1	F19H6.6
F18E9.5a.2	jmjd-3.1
H42K12.3.2	H42K12.3
E01H11.1d.1	pkc-2
C33G3.1b.2	dyc-1
K02H8.1f.1	mbl-1
C09B7.1b.1	ser-7
F59F4.4.1	acl-1
E03G2.4.1	col-186
K11E4.1.1	K11E4.1
B0416.3.1	B0416.3
T23E7.2d.2	T23E7.2
F46H5.2c.1	F46H5.2
Y49A10A.1.1	efhc-1
F58A3.1b.1	ldb-1
ZK662.4.1	lin-15B
C40H5.4.1	lact-7
F45E1.1.3	F45E1.1
T24C2.5.1	T24C2.5
C27C12.4.1	C27C12.4
T07H6.1b.4	cest-16
C34E7.1a.1	pqn-18
C23F12.1g.5	fln-2
ZK813.3.1	ZK813.3
F16H11.1.1	mfsd-12
C25A11.2.2	C25A11.2
M03B6.4.1	M03B6.4
K03E6.1b.1	lim-6
F56F10.2.1	F56F10.2
F55F3.4a.1	F55F3.4
T22B2.4b.1	sup-12
K04G11.4.1	wdr-5.2
T07H6.1b.1	cest-16
T22B2.4a.1	sup-12
F40E10.5.1	F40E10.5
F21A10.1b.2	ncs-4
Y15E3A.1a.3	nhr-91
C54H2.1a.2	sym-3
E01G6.3.1	cest-3
F58A3.3.1	F58A3.3
C40C9.4a.1	C40C9.4
T28B4.1c.1	T28B4.1
E01H11.1e.1	pkc-2
T21D9.1.1	col-164
D1009.1c.1	acs-22
C04A11.4b.1	adm-2
R08B4.1.1	grd-1
C23F12.1g.3	fln-2
C35B8.3a.2	C35B8.3
B0563.9.1	B0563.9
F55D10.3.1	glit-1
C53C11.5b.1	C53C11.5
T02C5.1b.1	T02C5.1
F10D7.11.2	F10D7.11
F16B12.6.1	F16B12.6
T22E5.2a.1	glt-4
C16H3.1b.1	ncs-7
T01C8.2.1	T01C8.2
F54F7.10.1	F54F7.10
C23F12.1g.6	fln-2
R09A8.9.1	R09A8.9
C11E4.6.1	C11E4.6
F56B6.2b.1	rgs-7
T18D3.1.1	T18D3.1
C34E7.3.1	C34E7.3
C28G1.10.1	C28G1.10
F35H12.2d.1	tbc-11
C09C7.1.1	zig-4
F11C1.7b.1	F11C1.7
F47G3.3.1	F47G3.3
C34E11.1.1	rsd-3
F11C1.5e.1	vwa-8
F31F6.5.1	daf-6
T01B4.2b.1	twk-22
Y71H9A.3.2	sto-4
C05C9.1.1	C05C9.1
F02G3.1a.2	ncam-1
Y41G9A.1.1	osm-5
F49H12.5.1	txdc-12.2
F48B9.1.1	F48B9.1
E01G6.2.1	E01G6.2
C53B7.1.1	rig-3
C03H12.1f.3	C03H12.1
T04G9.7.1	T04G9.7
D1025.1.1	D1025.1
F38G1.2.1	egl-17
C24H10.3.1	C24H10.3
C15C7.1.1	syx-6
F11A1.3g.1	daf-12
K08H2.8.1	nhr-32
F21G4.5.1	F21G4.5
C53C11.2.1	C53C11.2
R02E12.12.1	R02E12.12
M163.8.1	M163.8
F11C1.6a.2	nhr-25
C10A4.6.1	C10A4.6
F13D11.2a.1	hbl-1
F35H12.3.1	sel-12
T13G4.3.2	tmc-1
C03G5.7.2	flp-5
F46F6.2b.1	pkn-1
C02C6.2a.1	olrn-1
F42F12.6.1	nspc-13
F49E10.2a.1	F49E10.2
F01G12.2a.1	sur-7
M60.2.1	endu-2
C35C5.2.1	gcp-2.2
T22B2.1.1	T22B2.1
H11E01.2.1	H11E01.2
F35A5.2.1	F35A5.2
Y62H9A.12.1	Y62H9A.12
C52B9.2.5	ets-9
F38B6.4.1	F38B6.4
T18D3.7a.1	tsct-1
F35H12.2c.2	tbc-11
C10A4.5.1	gad-2
K09C4.4.1	K09C4.4
M03B6.5.1	M03B6.5
C33A11.1.1	nfki-1
F22E10.5.1	cept-1
W05H9.4.1	W05H9.4
ZK455.7.1	pgp-3
C15B12.8.1	C15B12.8
K09A9.6b.1	K09A9.6
C43H6.6.1	C43H6.6
H36L18.1.1	zmp-5
F58A3.2a.6	egl-15
T23E7.2b.1	T23E7.2
F23A7.3.1	F23A7.3
M79.4.1	flp-19
R02E12.2b.1	mop-25.1
T03G6.2c.1	nhr-40
F52E4.4.1	twk-16
F55F3.2b.1	cest-13
ZC8.4a.2	lfi-1
T22B7.3.1	T22B7.3
F13B9.5.1	ksr-1
F49E2.2a.1	F49E2.2
C44H4.2.1	let-4
T01C8.1a.1	aak-2
F59F3.5.2	ver-4
F59F5.7.1	F59F5.7
F01E11.18.1	F01E11.18
F14B8.1a.1	nhx-4
F21A10.1b.1	ncs-4
F52B10.1a.1	nmy-1
M03A8.2.1	atg-2
F58A3.2a.2	egl-15
C53B7.3b.1	C53B7.3
F38E9.6.1	F38E9.6
ZC53.7.1	rgs-9
R04E5.2.1	cnnm-2
F38B6.5b.2	col-172
W09B12.1.1	ace-1
C39D10.3a.1	pcyt-2.2
F18E9.2b.1	nlp-7
K09E2.4b.6	rig-1
M163.9.1	M163.9
C03H12.1e.2	C03H12.1
T07H6.1b.2	cest-16
F47G3.4.1	F47G3.4
F47F2.1b.1	F47F2.1
C54D1.3b.1	ist-1
Y73B3A.20.1	Y73B3A.20
H02F09.2.1	H02F09.2
F48F7.1a.3	alg-1
C23H4.2.1	cest-8
C04E7.2.1	sor-3
C28G1.2.1	C28G1.2
F46C8.2.1	col-174
F40B5.2b.1	F40B5.2
T22B7.1d.2	egl-13
R12H7.1a.1	unc-9
C55B6.2.1	dnj-7
T23E7.2d.3	T23E7.2
B0563.5.1	B0563.5
F23D12.5.1	jmjd-3.2
ZC504.2.2	acr-8
K09E9.7.1	K09E9.7
C31E10.7.1	cytb-5.1
ZK867.1f.1	syd-9
F55G7.1.1	F55G7.1
F48E3.1.3	gly-12
ZK455.8b.1	oct-2
C31E10.3a.1	irld-24
H28G03.2a.2	H28G03.2
F56B6.4a.1	gyg-1
R160.1b.1	dpy-23
F46H5.2a.1	F46H5.2
T22B7.1b.2	egl-13
C07A12.3b.1	nhr-35
C34D10.2a.3	unk-1
ZC8.4a.1	lfi-1
F16H9.1b.1	rgs-2
T01B4.1.1	twk-21
C12D12.1a.1	C12D12.1
ZK662.5.1	ZK662.5
K11E4.5a.1	nhr-71
K01A12.2.2	K01A12.2
H42K12.3.1	H42K12.3
D1025.9.1	nspc-19
T07H6.1a.1	cest-16
C52B9.1b.1	cka-2
F49E2.2a.2	F49E2.2
K07E3.9.1	K07E3.9
C45B2.4g.1	lgc-58
C09G1.5b.1	C09G1.5
F20D1.2.1	tbc-1
F52E10.1b.1	sdc-1
K03A11.3.1	ceh-28
ZC449.8.1	ZC449.8
T21F2.1a.1	lgc-53
C14F5.1b.1	dct-1
F32A6.3a.1	vps-41
Y34B4A.7.1	Y34B4A.7
C07A12.1b.1	ham-2
F49H12.1b.1	lsy-2
R03A10.2.1	flp-32
T13G4.2.1	hot-8
F55A4.1.1	sec-22
T13C5.1a.1	daf-9
F42E11.1b.2	pgp-4
F31B9.7.1	F31B9.7
W04G3.6c.1	sulp-7
F53A9.3.1	F53A9.3
F08C6.3.1	vps-52
F52E4.1a.1	pccb-1
F10D7.1.1	npr-36
C15H9.3.1	C15H9.3
F55D10.1.1	aman-1
H30A04.1b.1	eat-20
F46H5.2c.3	F46H5.2
F14D12.4c.1	mec-2
C17G1.5.1	C17G1.5
F02E8.2b.1	nmur-3
F43C9.2b.1	F43C9.2
C01C10.1a.1	clc-2
E03G2.3.1	mec-5
C31H2.14.2	C31H2.14
F22F4.1.1	sups-1
F11A1.3e.3	daf-12
F53H4.4.1	F53H4.4
E02H4.1c.1	del-1
C14F11.1.1	got-2.2
C31H2.1a.1	tbc-7
F48D6.1.1	taf-11.1
F46G11.1a.1	twnk-1
ZC8.4g.1	lfi-1
C44C1.2.2	chil-10
C35B8.4.1	crb-3
ZC373.7.1	col-176
C23H4.6a.1	C23H4.6
F18G5.2b.1	pes-8
T23C6.1.1	mdt-1.2
C07A4.1.1	rnp-9
E02H4.4.1	E02H4.4
C35C5.8b.1	C35C5.8
K02H8.1c.1	mbl-1
C46F4.1a.1	egl-6
M153.3.1	M153.3
K09F5.6a.1	K09F5.6
B0563.6b.2	B0563.6
C39D10.11b.1	C39D10.11
C29F7.6a.1	jmjd-3.3
C16E9.2a.1	C16E9.2
B0416.1a.1	tmc-2
R01E6.3a.1	cah-4
Y34B4A.3.1	hst-6
Y102A11A.1.1	Y102A11A.1
F36G3.3.1	F36G3.3
C45B2.4a.1	lgc-58
F09A5.1.1	spin-3
C35B8.3a.1	C35B8.3
T22E5.1a.1	T22E5.1
C14F5.2.1	zig-3
H13N06.3.1	gob-1
F08C6.2b.1	pcyt-1
F54F7.2.1	F54F7.2
F02E8.1.1	asb-2
F56B6.2f.1	rgs-7
C23F12.9.2	C23F12.9
F57C12.1.1	nas-38
F08F1.4.1	F08F1.4
C35C5.8b.3	C35C5.8
T20B5.1.1	apa-2
C05D9.2.2	lmp-2
Y62H9A.4.1	Y62H9A.4
F49E2.5l.1	F49E2.5
R02E12.2a.1	mop-25.1
T27A10.3b.2	ckc-1
R160.1a.1	dpy-23
T14F9.1.1	vha-15
F42D1.3.2	sprr-2
C10E2.1.1	C10E2.1
C13E3.1a.1	C13E3.1
F28H6.4.1	F28H6.4
F14D12.4l.1	mec-2
F09A5.3a.1	F09A5.3
F15G9.1b.2	F15G9.1
H30A04.1a.1	eat-20
ZK154.1.1	ZK154.1
C17G1.8.2	tsp-21
R07E3.6.1	R07E3.6
F14H12.1.1	col-165
T25B6.4.1	T25B6.4
F40F4.5.1	tba-9
C11E4.8d.1	C11E4.8
F46C8.3.1	F46C8.3
D2021.1b.1	utx-1
F56B6.2g.1	rgs-7
ZC449.7.1	ZC449.7
T08A9.2.1	ttr-30
C46E1.2.1	gcy-36
C25B8.1a.1	kqt-1
F56C3.2.1	fbxa-190
C27C12.7.1	dpf-2
H30A04.1a.2	eat-20
F02G3.1c.1	ncam-1
F01E11.1.1	ugt-57
ZC449.3a.1	sek-3
R173.4.1	flp-26
ZK867.1c.1	syd-9
F18E9.5a.3	jmjd-3.1
C44H4.7c.1	eor-2
C07B5.4a.1	C07B5.4
C46C11.2.1	slcr-46.1
F22E10.1.1	pgp-12
F49E2.2a.4	F49E2.2
K01A12.2.1	K01A12.2
F53H8.2.1	arr-1
C05E11.1b.1	lnp-1
C03A3.1a.1	C03A3.1
F54E4.1a.1	rbc-1
M02A10.1.1	M02A10.1
F09A5.3b.1	F09A5.3
F22E10.2.1	pgp-13
T09B9.1.1	T09B9.1
ZC8.4h.1	lfi-1
R03E9.1.1	mdl-1
C33A11.2.1	C33A11.2
T10H10.1.1	hum-6
F35C8.4.1	syx-3
C30F2.1.1	col-187
T28B4.1a.1	T28B4.1
M153.1.1	pycr-1
F22A3.1b.1	ets-4
Y102A11A.2a.1	Y102A11A.2
R07B1.11.1	R07B1.11
C31H2.1c.1	tbc-7
W05H9.1a.1	W05H9.1
C43H6.1.1	trpp-12
C09B7.1a.1	ser-7
F49E10.3.1	flp-7
C24A3.2a.2	C24A3.2
F48F7.1a.2	alg-1
F39H12.2.2	F39H12.2
C08A9.1.1	sod-3
F16H9.1a.1	rgs-2
R57.1a.1	gcp-2.1
C11G6.4b.1	nhr-28
K09E2.4b.3	rig-1
F23A7.5.1	F23A7.5
F46G11.1d.1	twnk-1
T07F12.1.1	T07F12.1
F42E11.2c.1	ttyh-1
F57C7.2b.1	nhx-5
T03G6.2b.1	nhr-40
E01G6.1.1	E01G6.1
C49F5.1.3	sams-1
F13B9.2.1	F13B9.2
F59F5.4.1	F59F5.4
T10E10.3b.1	T10E10.3
C39B10.2e.1	lgc-41
C39B10.2c.1	lgc-41
F14F3.1a.1	vab-3
F44A6.1b.1	nucb-1
B0416.4.1	B0416.4
F14H12.3.1	F14H12.3
F39C12.4.1	ntc-1
R12H7.1a.2	unc-9
F35A5.3.1	abu-10
Y48D7A.1.1	Y48D7A.1
C34E11.3d.1	tag-241
F21A10.4.1	arrd-28
T25B2.2b.1	T25B2.2
C25A11.4a.4	ajm-1
K02G10.1.1	dhhc-10
F40F4.3.1	lbp-1
H28G03.1b.1	hrpa-2
F08F1.3.1	F08F1.3
C16E9.1.1	C16E9.1
R57.2.1	R57.2
Y15E3A.1b.1	nhr-91
C05D9.3a.1	C05D9.3
F42F12.3.1	F42F12.3
ZK662.4.2	lin-15B
R09G11.2a.3	nhr-1
W05H7.1.1	W05H7.1
T10B10.4a.1	T10B10.4
C11H1.4a.1	prx-1
F16F9.1.1	F16F9.1
F40E10.4.1	slt-1
ZK662.3a.1	nhr-48
T01B4.2a.1	twk-22
Y15E3A.1a.4	nhr-91
C16E9.2b.4	C16E9.2
T08D2.5.2	T08D2.5
C02B8.4.1	hlh-8
T14C1.1.1	frpr-17
K03A11.1.1	K03A11.1
C37E2.2a.1	C37E2.2
C31H2.1c.2	tbc-7
C52B9.1b.2	cka-2
M03A8.3.2	M03A8.3
F01E11.3.1	F01E11.3
Y41G9A.2.1	Y41G9A.2
ZK816.1.2	ZK816.1
F13B9.1a.1	sec-16A.2
F42E11.2a.1	ttyh-1
F13B9.1d.1	sec-16A.2
ZK563.1.1	slcf-2
T21F4.1.2	argn-1
C44C10.5.1	C44C10.5
Y70D2A.1.1	Y70D2A.1
T08D10.2.1	lsd-1
C10A4.5.2	gad-2
C12D12.1c.1	C12D12.1
C05E11.4.1	amt-1
C52B9.2.1	ets-9
F15G9.1b.1	F15G9.1
C05G5.4.1	sucl-1
D1009.2.2	cyn-8
W04G3.6d.1	sulp-7
F56B6.5a.1	npr-16
Y34B4A.2.1	Y34B4A.2
K05G3.2.1	K05G3.2
T21F2.1b.1	lgc-53
F22F1.1.1	hil-3
F56B6.4b.1	gyg-1
K09C4.2.1	K09C4.2
F10D7.1.2	npr-36
D1009.1a.1	acs-22
F18E9.3.1	F18E9.3
C55B6.1a.1	C55B6.1
M03B6.1.1	M03B6.1
C03H12.1e.1	C03H12.1
C45B2.6.2	C45B2.6
R08E3.1b.1	R08E3.1
C56E10.1.1	nhr-173
F49E10.4.1	F49E10.4
T27A8.1.1	cpd-2
F35C8.2.1	sek-4
C35C5.5.1	lev-8
R11.2.1	nlp-67
ZC8.4f.1	lfi-1
H42K12.1b.1	pdk-1
D1005.1.1	acly-1
F31B9.1.1	npr-33
W05H9.1b.1	W05H9.1
K07E3.1.1	K07E3.1
C28G1.1.1	ubc-23
C46C11.3.1	C46C11.3
C54G7.1.1	C54G7.1
K11G12.1a.1	nas-11
T14E8.2.1	T14E8.2
C01C4.3b.2	C01C4.3
C18A11.1.1	C18A11.1
K05B2.2a.2	K05B2.2
H03E18.1.1	H03E18.1
F33C8.4.1	F33C8.4
K09C8.4.1	lge-1
F40F4.1.1	fbxb-71
C09F12.2.1	C09F12.2
R08B4.4.1	R08B4.4
D1009.2.1	cyn-8
R01E6.3b.1	cah-4
F49E2.5a.1	F49E2.5
R03G5.1.1	eef-1A.2
C26B9.3.1	C26B9.3
C15B12.9.1	C15B12.9
T01B6.1.1	T01B6.1
R08B4.1.2	grd-1
Y23B4A.2.2	capa-1
C09G1.5a.1	C09G1.5
C03H12.1a.1	C03H12.1
ZC13.1a.1	ZC13.1
B0198.2b.2	B0198.2
T10E10.3a.1	T10E10.3
C36C9.1.1	meg-4
C07A4.2.1	C07A4.2
F35H12.2c.4	tbc-11
C35C5.1.1	sdc-2
T07F12.3.1	arrd-23
C23F12.3.1	C23F12.3
F31F6.4b.1	flp-8
C10E2.2.2	C10E2.2
F08G12.4.1	vhl-1
R03G5.2.1	sek-1
C25B8.8.1	C25B8.8
cTel55X.1b.1	cTel55X.1
ZC8.4a.4	lfi-1
C35B8.4.2	crb-3
B0563.6a.1	B0563.6
ZC373.1b.1	cbs-1
F09F9.1.1	F09F9.1
F46F6.2c.1	pkn-1
C44H4.5.1	tap-1
F46G11.2.1	F46G11.2
ZK899.1.1	ZK899.1
T22E5.2b.1	glt-4
T18D3.5.1	T18D3.5
C46C11.1a.1	hosl-1
F18E9.2a.1	nlp-7
F59C12.1a.1	cdh-9
C11E4.3a.1	del-8
K06A9.1c.1	K06A9.1
VW06B3R.1a.1	ucr-2.1
C15C7.2.1	gcc-1
B0563.6b.1	B0563.6
F18H3.4.1	F18H3.4
F20D1.6.1	rbg-1
F23D12.4.1	F23D12.4
C25A11.4a.2	ajm-1
C24A3.6.2	twk-18
F56B6.2i.1	rgs-7
T07H6.1b.3	cest-16
T08A9.3.1	sng-1
F53H8.3.1	F53H8.3
F35H12.2c.3	tbc-11
C39B10.2j.1	lgc-41
ZK455.1.1	aco-1
F14B8.2.1	sid-5
F41D9.1.1	tbc-18
C52G5.2.1	C52G5.2
C54D1.3c.1	ist-1
F11C1.7c.1	F11C1.7
K04C1.2a.1	K04C1.2
F02C12.1.1	F02C12.1
F39D8.3a.2	F39D8.3
C31H2.14.1	C31H2.14
C06G1.1a.1	C06G1.1
ZK377.1.1	wrt-6
C02B8.3.1	C02B8.3
T27B1.2.1	pat-9
C10A4.9b.1	C10A4.9
F38B2.1c.1	ifa-1
C02B4.1b.1	adt-1
C47C12.6a.1	deg-1
T18D3.4.1	myo-2
C06E2.2.1	C06E2.2
F49E2.5b.1	F49E2.5
C09G1.5b.2	C09G1.5
T25C12.1b.1	lin-14
F48B9.3.1	F48B9.3
K09A9.6a.1	K09A9.6
F31B9.2.1	F31B9.2
M02E1.1a.1	M02E1.1
C01C10.1b.1	clc-2
C03B1.5.1	C03B1.5
C16H3.2.1	lec-9
K05B2.2b.5	K05B2.2
ZK470.1.1	ZK470.1
T08D2.5.1	T08D2.5
K02D3.1.1	K02D3.1
M03F4.2a.1	act-4
C34E11.3c.1	tag-241
K05B2.2b.3	K05B2.2
Y71H10A.2.3	fard-1
K09F5.6b.1	K09F5.6
Y15E3A.5.2	Y15E3A.5
F40B5.2b.2	F40B5.2
F46F6.2a.1	pkn-1
H28G03.2a.1	H28G03.2
C05G5.2a.1	C05G5.2
F47E1.4.1	F47E1.4
M03F4.3a.1	tyra-3
C44H4.3.1	sym-1
W07E11.1b.1	W07E11.1
F47B10.6.1	F47B10.6
F54B11.11.1	F54B11.11
C52B9.2.2	ets-9
C05D9.1.1	snx-1
ZK899.3.1	ZK899.3
H22K11.3.1	H22K11.3
F47E1.2.1	F47E1.2
T18D3.6.1	T18D3.6
F08C6.5.1	F08C6.5
C33D3.1.1	elt-2
F13D11.1.1	acp-5
C52B9.2.3	ets-9
F49E2.5n.1	F49E2.5
M02E1.4.1	M02E1.4
F14F3.1c.1	vab-3
C26G2.1g.1	syg-2
Y73B3A.11.1	Y73B3A.11
T27B1.1.1	osm-1
K06A9.2.1	K06A9.2
ZK813.1.2	ZK813.1
K02B9.4a.3	elt-3
C07A12.5a.1	spr-3
F57C7.2b.2	nhx-5
C09F12.1.2	clc-1
F11A1.3e.4	daf-12
